127.0.0.1, 2016-02-08 17:40:02, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:02, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:40:02, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:04, GET, /user/login, HTTP/1.1, 200, 0.056000
127.0.0.1, 2016-02-08 17:40:15, POST, /user/login, HTTP/1.1, 303, 0.308000
127.0.0.1, 2016-02-08 17:40:15, GET, /, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-08 17:40:15, GET, /MoodlePlus/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /default/grades, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:21, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:23, GET, /default/index, HTTP/1.1, 200, 0.176000
127.0.0.1, 2016-02-08 17:40:24, GET, /default/notifications, HTTP/1.1, 200, 0.063000
127.0.0.1, 2016-02-08 17:40:25, GET, /, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-08 17:40:27, GET, /courses, HTTP/1.1, 200, 0.176000
127.0.0.1, 2016-02-08 17:40:29, GET, /courses/course/csl732, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-08 17:40:36, GET, /courses/course/csl732/assignments, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-08 17:40:41, GET, /courses/course/csl732/resources, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:41, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-08 17:40:44, GET, /courses/course/csl732/threads, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-08 17:40:49, GET, /courses/course/csl732/grades, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-08 17:40:51, GET, /courses/course/csl732/assignments, HTTP/1.1, 200, 0.064000
127.0.0.1, 2016-02-08 17:40:53, GET, /courses/course/csl732/overview, HTTP/1.1, 200, 0.188000
127.0.0.1, 2016-02-08 17:40:54, GET, /courses/course/csl732/overview, HTTP/1.1, 200, 0.077000
127.0.0.1, 2016-02-08 17:40:55, GET, /courses/course/col740, HTTP/1.1, 200, 0.174000
127.0.0.1, 2016-02-08 17:40:59, GET, /MoodlePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-08 17:41:01, GET, /user/logout, HTTP/1.1, 303, 0.260000
127.0.0.1, 2016-02-08 17:41:01, GET, /, HTTP/1.1, 200, 0.084000
